search_term,page_num,allsides_url,detail_title,bias,tags,publish_date,source_url
ai,2.0,https://www.allsides.com/news/2025-07-20-0900/technology-17-hp-laptop-ms-office-and-ai-features-67-amazon-clears-out-stock,"This 17"" HP Laptop with MS Office and AI Features Is 67% Off, Amazon Clears Out Stock for Nearly Free",Lean Left,AI Technology,,https://gizmodo.com/this-17-hp-laptop-with-ms-office-and-ai-features-is-67-off-amazon-clears-out-stock-for-nearly-free-2000631830
ai,2.0,https://www.allsides.com/news/2025-07-17-1200/general-news-pretty-little-baby-singer-connie-francis-friend-reveals-why-they,‘Pretty Little Baby’ Singer Connie Francis’ Friend Reveals Why They Were ‘Expecting’ Her Passing,Lean Left,Arts And Entertainment Entertainment,,https://yahoo.com/entertainment/articles/pretty-little-baby-singer-connie-165136545.html
ai,2.0,https://www.allsides.com/news/2025-07-17-0900/technology-nobody-company-has-explain-company-why-she-or-he-using-ai-do,“Nobody in the company has to explain in the company why she or he is using AI to do something … You only have to explain if you didn’t use AI. That’s really something you have to explain because that shouldn’t happen.”,Center,AI Technology,,https://niemanlab.org/reading/nobody-in-the-company-has-to-explain-in-the-company-why-she-or-he-is-using-ai-to-do-something-you-only-have-to-explain-if-you-didnt-use-ai-thats-really-something-you-have-to-e
ai,2.0,https://www.allsides.com/news/2025-07-17-1700/general-news-everything-know-about-tron-ares-jared-leto-rogue-ai-villain-and,Everything to know about ‘Tron: Ares’: Jared Leto is a rogue A.I. villain and Jeff Bridges returns in new trailer,Lean Left,Arts And Entertainment Entertainment Movies,,https://yahoo.com/entertainment/articles/everything-know-tron-ares-jared-220621342.html
ai,2.0,https://www.allsides.com/news/2025-07-17-1200/technology-uks-most-powerful-supercomputer-isambard-ai-comes-online,UK's most powerful supercomputer Isambard-AI comes online,Center,AI Technology,,https://bbc.com/news/articles/c8rpnlrj7ppo
ai,2.0,https://www.allsides.com/news/2025-07-19-0600/technology-ai-guzzled-millions-books-without-permission-authors-are-fighting,AI guzzled millions of books without permission. Authors are fighting back.,Lean Left,AI Technology,,https://washingtonpost.com/technology/2025/07/19/ai-books-authors-congress-courts
ai,2.0,https://www.allsides.com/news/2025-07-17-2100/technology-netflix-enlists-ai-first-time-cut-costs-and-boost-creativity,Netflix enlists AI for first time to cut costs and boost creativity,Center,AI Technology,,https://bbc.com/news/articles/c9vr4rymlw9o
ai,2.0,https://www.allsides.com/news/2025-07-20-0600/technology-sunday-good-reads-july-20th-2025,"Sunday Good Reads for July 20th, 2025",Left,Technology,,https://dailykos.com/stories/2025/7/20/2334294/-Sunday-Good-Reads-for-July-20th-2025
ai,2.0,https://www.allsides.com/news/2025-07-18-0200/business-tech-ceo-and-psychologist-weigh-ai-chatbots-ted-radio-hour,A tech CEO and a psychologist weigh in on AI chatbots : TED Radio Hour,Lean Left,AI Health Business,,https://npr.org/2025/07/18/1255880063/ted-radio-hour-prophets-of-technology-part-2
ai,2.0,https://www.allsides.com/news/2025-07-17-0100/technology-top-ai-firms-fall-short-safety-new-studies-find,"Top AI Firms Fall Short on Safety, New Studies Find",Lean Left,AI Technology,,https://time.com/7302757/anthropic-xai-meta-openai-risk-management-2
immigration,2.0,https://www.allsides.com/news/2025-07-16-1100/immigration-parent-detained-immigration-authorities-beaverton-school-parking,Parent detained by immigration authorities in Beaverton school parking lot,Center,Immigration Politics,,https://oregonlive.com/politics/2025/07/parent-detained-by-immigration-authorities-in-beaverton-school-parking-lot.html
immigration,2.0,https://www.allsides.com/news/2025-07-17-1800/general-news-10th-anniversary-hamilton-performance-raise-immigrant-support,10th anniversary ‘Hamilton’ performance to raise immigrant-support funds,Left,Arts And Entertainment Entertainment,,https://nydailynews.com/2025/07/17/hamilton-10th-anniversary-performance-immigrant-fundraiser
immigration,2.0,https://www.allsides.com/news/2025-07-17-1900/immigration-ice-access-personal-medicaid-information-catch-illegal-immigrants,ICE to access personal Medicaid information to catch illegal immigrants,Lean Right,Health Immigration,,https://washingtonexaminer.com/policy/immigration/3475032/ice-access-personal-medicaid-information-catch-illegal-immigrants
immigration,2.0,https://www.allsides.com/news/2025-07-17-1700/immigration-democratic-lawmaker-calls-out-party-being-scared-offend-immigration,Democratic lawmaker calls out party for being 'scared' to offend immigration groups,Right,DNC Immigration Politics,,https://foxnews.com/media/democratic-lawmaker-calls-out-party-being-scared-offend-immigration-groups
immigration,2.0,https://www.allsides.com/news/2025-07-16-2100/immigration-utah-county-oks-plans-bolster-cooperation-immigration-officials,Utah County OKs plans to bolster cooperation with immigration officials despite heavy opposition,Center,Immigration Politics,,https://ksl.com/article/51347013/utah-county-oks-plans-to-bolster-cooperation-with-immigration-officials-despite-heavy-opposition
immigration,2.0,https://www.allsides.com/news/2025-07-18-1000/immigration-major-league-soccer-struggles-free-speech-fans-protest-trumps,Major League Soccer struggles with free speech as fans protest Trump's immigration policies,Center,Soccer Immigration Politics Sports,,https://reason.com/2025/07/18/major-league-soccer-struggles-with-free-speech-as-fans-protest-trumps-immigration-policies
ai,3.0,https://www.allsides.com/news/2025-07-16-1600/technology-driving-ai-embedded-car-more-natural-you-think,Driving an AI-embedded car is more natural than you think,Center,AI Technology,,https://newsweek.com/driving-ai-embedded-car-more-natural-you-think-2097812
ai,3.0,https://www.allsides.com/news/2025-07-19-1400/technology-elon-musks-latest-blending-his-business-interests-puts-grok-ai,Elon Musk's latest blending of his business interests puts the Grok AI chatbot in all new Teslas—and raises questions around data and privacy,Center,AI Technology,,https://fortune.com/2025/07/19/elon-musk-tesla-xai-grok-mixes-business-interests-llm-training-data-privacy-questions
ai,3.0,https://www.allsides.com/news/2025-07-16-1300/technology-companies-firing-staff-ai-today-will-regret-it-five-years,The companies firing staff for AI today will regret it in five years,Center,AI Technology,,https://fortune.com/2025/07/16/ai-layoffs-regrets
ai,3.0,https://www.allsides.com/news/2025-07-17-1300/business-coldplay-s-kiss-cam-exposes-astronomer-s-ceo-andy-byron-alleged-affair,Coldplay’s Kiss Cam Exposes Astronomer’s CEO Andy Byron Alleged Affair With HR Chief Kristin Cabot,Lean Left,Entertainment Music Business,,https://yahoo.com/entertainment/articles/coldplay-kiss-cam-exposes-astronomer-142620411.html
ai,3.0,https://www.allsides.com/news/2025-07-16-0900/technology-top-tech-companies-are-sounding-another-alarm-ai,Top tech companies are sounding another alarm on AI,Center,AI Technology,,https://qz.com/ai-scientists-warning-openai-google-deepmind-meta
ai,3.0,https://www.allsides.com/news/2025-07-17-1100/business-ceo-faces-cheating-allegations-after-being-caught-embrace-coworker,CEO faces cheating allegations after being caught in embrace with coworker on Jumbotron at Coldplay concert,Lean Left,Entertainment Music Business,,https://yahoo.com/entertainment/articles/ceo-faces-cheating-allegations-being-160122429.html
ai,3.0,https://www.allsides.com/news/2025-07-17-0900/technology-nobody-company-has-explain-company-why-she-or-he-using-ai-do,“Nobody in the company has to explain in the company why she or he is using AI to do something … You only have to explain if you didn’t use AI. That’s really something you have to explain because that shouldn’t happen.”,Center,AI Technology,,https://niemanlab.org/reading/nobody-in-the-company-has-to-explain-in-the-company-why-she-or-he-is-using-ai-to-do-something-you-only-have-to-explain-if-you-didnt-use-ai-thats-really-something-you-have-to-e
immigration,3.0,https://www.allsides.com/news/2025-07-18-1300/immigration-illegal-alien-charged-staged-immigration-kidnapping,Illegal Alien Charged in Staged Immigration Kidnapping,Right,Crime Immigration Politics,,https://newsmax.com/us/illegal-alien-hoax-faked-kidnapping/2025/07/18/id/1219240
immigration,3.0,https://www.allsides.com/news/2025-07-16-2000/immigration-senator-tuberville-tells-us-citizens-swept-immigration-raids-don-t,"Senator Tuberville Tells U.S. Citizens Swept Up in Immigration Raids, ‘Don’t Hang Around Illegals’",Lean Left,Immigration Politics,,https://mediaite.com/politics/senator-tuberville-tells-u-s-citizens-swept-up-in-immigration-raids-dont-hang-around-illegals
immigration,3.0,https://www.allsides.com/news/2025-07-15-1600/world-ice-bars-detained-immigrants-getting-bond-hearings,ICE bars detained immigrants from getting bond hearings,Lean Left,World,,https://nbcnews.com/news/latino/ice-bars-detained-immigrants-from-getting-bond-hearings-rcna218944
immigration,3.0,https://www.allsides.com/news/2025-07-18-1700/immigration-indiana-new-jersey-bases-house-illegal-immigrants,"Indiana, New Jersey Bases to House Illegal Immigrants",Right,Immigration Politics,,https://newsmax.com/newsfront/indiana-jersey-illegal/2025/07/18/id/1219281
immigration,3.0,https://www.allsides.com/news/2025-07-16-1700/immigration-trump-officials-face-new-lawsuit-over-immigration-court-arrests,Trump Officials Face New Lawsuit Over Immigration Court Arrests,Lean Left,Immigration Politics,,https://bloomberg.com/news/articles/2025-07-16/trump-officials-face-new-lawsuit-over-immigration-court-arrests
immigration,3.0,https://www.allsides.com/news/2025-07-19-1500/immigration-reporting-family-separation-and-aggressive-immigration-enforcement,Reporting on family separation and aggressive immigration enforcement in Florida,Lean Left,Immigration Politics,,https://npr.org/2025/07/19/nx-s1-5469859/reporting-on-family-separation-and-aggressive-immigration-enforcement-in-florida
ai,3.0,https://www.allsides.com/news/2025-07-17-1200/general-news-pretty-little-baby-singer-connie-francis-friend-reveals-why-they,‘Pretty Little Baby’ Singer Connie Francis’ Friend Reveals Why They Were ‘Expecting’ Her Passing,Lean Left,Arts And Entertainment Entertainment,,https://yahoo.com/entertainment/articles/pretty-little-baby-singer-connie-165136545.html
ai,3.0,https://www.allsides.com/news/2025-07-19-1400/technology-elon-musks-latest-blending-his-business-interests-puts-grok-ai,Elon Musk's latest blending of his business interests puts the Grok AI chatbot in all new Teslas—and raises questions around data and privacy,Center,AI Technology,,https://fortune.com/2025/07/19/elon-musk-tesla-xai-grok-mixes-business-interests-llm-training-data-privacy-questions
ai,3.0,https://www.allsides.com/news/2025-07-16-0900/technology-top-tech-companies-are-sounding-another-alarm-ai,Top tech companies are sounding another alarm on AI,Center,AI Technology,,https://qz.com/ai-scientists-warning-openai-google-deepmind-meta
ai,3.0,https://www.allsides.com/news/2025-07-16-1300/technology-companies-firing-staff-ai-today-will-regret-it-five-years,The companies firing staff for AI today will regret it in five years,Center,AI Technology,,https://fortune.com/2025/07/16/ai-layoffs-regrets
ai,3.0,https://www.allsides.com/news/2025-07-17-1100/business-ceo-faces-cheating-allegations-after-being-caught-embrace-coworker,CEO faces cheating allegations after being caught in embrace with coworker on Jumbotron at Coldplay concert,Lean Left,Entertainment Music Business,,https://yahoo.com/entertainment/articles/ceo-faces-cheating-allegations-being-160122429.html
ai,3.0,https://www.allsides.com/news/2025-07-17-0900/technology-nobody-company-has-explain-company-why-she-or-he-using-ai-do,“Nobody in the company has to explain in the company why she or he is using AI to do something … You only have to explain if you didn’t use AI. That’s really something you have to explain because that shouldn’t happen.”,Center,AI Technology,,https://niemanlab.org/reading/nobody-in-the-company-has-to-explain-in-the-company-why-she-or-he-is-using-ai-to-do-something-you-only-have-to-explain-if-you-didnt-use-ai-thats-really-something-you-have-to-e
ai,3.0,https://www.allsides.com/news/2025-07-17-1200/technology-uks-most-powerful-supercomputer-isambard-ai-comes-online,UK's most powerful supercomputer Isambard-AI comes online,Center,AI Technology,,https://bbc.com/news/articles/c8rpnlrj7ppo
immigration,3.0,https://www.allsides.com/news/2025-07-18-1300/immigration-illegal-alien-charged-staged-immigration-kidnapping,Illegal Alien Charged in Staged Immigration Kidnapping,Right,Crime Immigration Politics,,https://newsmax.com/us/illegal-alien-hoax-faked-kidnapping/2025/07/18/id/1219240
immigration,3.0,https://www.allsides.com/news/2025-07-16-2000/immigration-senator-tuberville-tells-us-citizens-swept-immigration-raids-don-t,"Senator Tuberville Tells U.S. Citizens Swept Up in Immigration Raids, ‘Don’t Hang Around Illegals’",Lean Left,Immigration Politics,,https://mediaite.com/politics/senator-tuberville-tells-u-s-citizens-swept-up-in-immigration-raids-dont-hang-around-illegals
immigration,3.0,https://www.allsides.com/news/2025-07-18-1700/immigration-indiana-new-jersey-bases-house-illegal-immigrants,"Indiana, New Jersey Bases to House Illegal Immigrants",Right,Immigration Politics,,https://newsmax.com/newsfront/indiana-jersey-illegal/2025/07/18/id/1219281
immigration,3.0,https://www.allsides.com/news/2025-07-16-1700/immigration-trump-officials-face-new-lawsuit-over-immigration-court-arrests,Trump Officials Face New Lawsuit Over Immigration Court Arrests,Lean Left,Immigration Politics,,https://bloomberg.com/news/articles/2025-07-16/trump-officials-face-new-lawsuit-over-immigration-court-arrests
immigration,3.0,https://www.allsides.com/news/2025-07-15-1600/world-ice-bars-detained-immigrants-getting-bond-hearings,ICE bars detained immigrants from getting bond hearings,Lean Left,World,,https://nbcnews.com/news/latino/ice-bars-detained-immigrants-from-getting-bond-hearings-rcna218944
immigration,3.0,https://www.allsides.com/news/2025-07-19-1500/immigration-reporting-family-separation-and-aggressive-immigration-enforcement,Reporting on family separation and aggressive immigration enforcement in Florida,Lean Left,Immigration Politics,,https://npr.org/2025/07/19/nx-s1-5469859/reporting-on-family-separation-and-aggressive-immigration-enforcement-in-florida
ai,5.0,https://www.allsides.com/news/2025-07-18-0600/science-mits-new-ai-can-teach-itself-control-robots-watching-world-through,MIT's new AI can teach itself to control robots by watching the world through their eyes — it only needs a single camera,Center,AI Science,,https://livescience.com/technology/robotics/mits-new-ai-can-teach-itself-to-control-robots-by-watching-the-world-through-their-eyes-it-only-needs-a-single-camera
ai,5.0,https://www.allsides.com/news/2025-07-16-1200/technology-nvidias-resumption-h20-chip-sales-related-rare-earth-element-trade,Nvidia's resumption of H20 chip sales related to rare earth element trade talks,Center,AI Technology,,https://techcrunch.com/2025/07/16/nvidias-resumption-of-h20-chip-sales-related-to-rare-earth-element-trade-talks
ai,5.0,https://www.allsides.com/news/2025-07-18-1200/technology-ai-coming-fore-coders-mike-rowe-reveals-jobs-are-safe-and-great,‘AI is coming fore the coders’: Mike Rowe reveals jobs that are safe and in great demand,Right,AI Technology,,https://bizpacreview.com/2025/07/18/ai-is-coming-fore-the-coders-mike-rowe-reveals-jobs-that-are-safe-and-in-great-demand-1569076
ai,5.0,https://www.allsides.com/news/2025-07-16-1500/technology-chatgpt-beats-microsoft-s-copilot-millions-downloads,ChatGPT beats Microsoft’s Copilot by millions of downloads,Center,Technology,,https://qz.com/chatgpt-beats-microsofts-copilot-downloads
ai,5.0,https://www.allsides.com/news/2025-07-16-1100/technology-nintendo-announces-stars-legend-zelda-movie,Nintendo announces stars of 'The Legend of Zelda' movie,Lean Left,Entertainment Movies Technology,,https://yahoo.com/entertainment/articles/nintendo-announces-stars-legend-zelda-162143838.html
ai,5.0,https://www.allsides.com/news/2025-07-14-0900/business-comcast-caa-invest-ethical-ai-video-start-moonvalley-part-84-million,"Comcast, CAA Invest in ‘Ethical’ AI Video Start-Up Moonvalley as Part of $84 Million Funding Round",Lean Left,AI Business,,https://variety.com/2025/digital/news/moonvalley-comcast-caa-funding-investement-ai-video-1236459594
ai,5.0,https://www.allsides.com/news/2025-07-16-1800/business-sf-ai-startup-scale-cuts-14-staff-after-meta-buyout,SF AI startup Scale cuts 14% of staff after Meta buyout,Not Rated,AI Business,,https://kron4.com/news/technology-ai/scale-ai-lays-off-employees-after-meta-investment
ai,5.0,https://www.allsides.com/news/2025-07-15-1700/technology-grok-drama-raises-questions-about-ai-regulation,Grok drama raises questions about AI regulation,Center,AI Technology,,https://thehill.com/newsletters/technology/5402965-grok-drama-raises-questions-about-ai-regulation
ai,5.0,https://www.allsides.com/news/2025-07-18-1900/environment-update-damaging-winds-predicted-thunderstorms-myrtle-beach-area,UPDATE: Damaging winds predicted with thunderstorms in Myrtle Beach area Friday,Center,South Carolina Weather Environment,,https://thestate.com/news/weather-news/article310959130.html
immigration,5.0,https://www.allsides.com/news/2025-07-15-1700/healthcare-federal-raids-lead-over-300-immigrant-arrests-california-cannabis,Federal raids lead to over 300 immigrant arrests at California cannabis farms,Center,Health Utah Healthcare,,https://deseret.com/the-west/2025/07/15/california-pot-farm-ice-raid-over-300-arrested
immigration,5.0,https://www.allsides.com/news/2025-07-15-1400/immigration-trumps-most-aggressive-immigration-policy-yet-just-dropped,Trump's Most Aggressive Immigration Policy Yet Just Dropped,Right,Immigration Politics,,https://townhall.com//tipsheet/jeff-charles/2025/07/15/trump-administration-declares-illegal-immigrants-ineligible-for-bond-n2660388
immigration,5.0,https://www.allsides.com/news/2025-07-17-1900/immigration-bernie-moreno-unveils-bill-punish-executives-who-hire-illegal,Bernie Moreno Unveils Bill to Punish Executives Who Hire Illegal Immigrants,Right,Immigration Politics,,https://townhall.com//tipsheet/saraharnold/2025/07/17/bernie-moreno-unveils-bill-to-punish-executives-who-hire-illegal-immigrants-n2660565
immigration,5.0,https://www.allsides.com/news/2025-07-15-0617/immigration-california-farm-worker-injured-immigration-raids-dies-more-300,"California farm worker injured in immigration raids dies; more than 300 arrested, feds say",Lean Left,Immigration ICE Migrants Detainment California,,https://www.cbsnews.com/news/more-than-300-arrested-immigration-raids-southern-california-farms-feds/
immigration,5.0,https://www.allsides.com/news/2025-07-19-0900/immigration-immigration-raids-are-giving-californias-cannabis-industry,Immigration raids are giving California's cannabis industry flashbacks to the war on drugs,Center,California Health Immigration Politics,,https://calmatters.org/justice/2025/07/marijuana-immigration-raid
immigration,5.0,https://www.allsides.com/news/2025-07-17-1600/immigration-ice-granted-unprecedented-access-medicaid-database-help-identify,ICE granted unprecedented access to Medicaid database to help identify and deport illegal immigrants,Right,Health Immigration Politics,,https://foxnews.com/politics/ice-granted-unprecedented-access-medicaid-database-help-identify-deport-illegal-immigrants
ai,6.0,https://www.allsides.com/news/2025-07-18-1100/banking-and-finance-near-protocol-jumps-12-ai-sector-takes-flight,NEAR Protocol Jumps 12% as AI Sector Takes Flight,Center,AI Bitcoin Cryptocurrency Markets Banking and Finance,,https://coindesk.com/markets/2025/07/18/near-protocol-jumps-12-as-ai-sector-takes-flight
ai,6.0,https://www.allsides.com/news/2025-07-17-2300/technology-perplexity-sees-india-shortcut-its-race-against-openai,Perplexity sees India as a shortcut in its race against OpenAI,Center,AI Technology,,https://techcrunch.com/2025/07/17/perplexity-sees-india-as-a-shortcut-in-its-race-against-openai
